pi,time
3.13743,65.2696
3.14632,65.711
3.14381,64.8557
3.1459,65.5149
3.14253,65.3348
3.14544,65.841
3.1535,65.871
3.13819,65.4089
3.14091,66.3879
3.13806,66.186
3.14121,65.9108
3.13725,66.7063
3.14569,66.2867
3.14195,66.263
3.13615,66.6738
3.14763,66.8561
3.13737,66.819
3.14303,67.6213
3.14509,66.3611
3.14424,67.3705
3.14042,66.8263
3.1474,66.1319
3.14098,66.67
3.13849,67.3906
3.14713,66.6306
3.13927,66.827
3.13923,67.5363
3.14929,67.3094
3.13631,67.4414
3.14287,67.6008
3.13851,67.7428
3.1424,67.6439
3.13935,67.9868
3.1413,67.9613
3.14011,67.6462
3.14241,67.4552
3.14259,67.8325
3.13651,68.4092
3.1403,68.6391
3.14317,68.3981
3.13701,68.6356
3.13761,68.5739
3.13354,68.4386
3.14202,68.725
3.13894,68.3329
3.13141,68.8348
3.14517,68.9017
3.13832,68.9748
3.13614,69.2815
3.13624,69.0389
3.14071,69.6807
3.13729,68.9669
3.14675,70.0191
3.13758,69.6637
3.13773,69.1043
3.13616,69.189
3.14424,69.3161
3.14441,69.6549
3.1377,69.6533
3.13991,69.7068
3.14205,70.0807
3.14267,69.9157
3.14594,69.2408
3.14259,70.6778
3.14227,70.5015
3.14166,70.4459
3.13957,70.6193
3.15039,70.7044
3.14261,70.7668
3.14626,71.2513
3.13601,71.5544
3.14479,70.7395
3.14651,70.9786
3.13985,70.484
3.13789,71.2868
3.14084,71.5905
3.14567,71.0841
3.14073,70.8834
3.13233,72.4046
3.13885,71.5089
3.13245,71.1322
3.14693,71.7334
3.14121,71.4751
3.13363,72.0923
3.14514,71.8742
3.14167,72.4595
3.1381,72.0404
3.14397,72.1661
3.14167,71.8761
3.13527,72.0561
3.1376,72.439
3.13536,71.8723
3.13988,71.9196
3.13474,72.1795
3.14029,73.1182
3.14647,72.6217
3.13927,72.3874
3.14156,72.5842
3.13457,72.5751
3.13845,73.2404
3.13564,73.2848
3.14156,73.1826
3.13594,72.9561
3.14282,72.7494
3.13814,73.4646
3.13608,73.4476
3.13912,73.6701
3.13321,73.2971
3.13527,73.5718
3.13677,74.3015
3.14158,73.1278
3.13703,73.4598
3.13548,74.0646
3.14621,73.5573
3.13737,74.0768
3.14035,74.2219
3.14334,74.5148
3.14267,74.5573
3.1389,74.5397
3.1442,74.3169
3.14875,74.7517
3.13819,74.7241
3.14025,75.3604
3.1401,74.706
3.13465,75.064
3.14182,74.8352
3.13916,75.3548
3.14173,74.7917
3.14069,75.592
3.14579,75.4496
3.13976,75.1589
3.13925,75.7606
3.13825,75.3222
3.1421,74.9899
3.13785,75.5639
3.14388,75.3279
3.13989,75.8286
3.14379,75.7037
3.14225,76.0341
3.14025,76.8051
3.14223,76.0744
3.14433,76.4276
3.13469,76.0845
3.1389,77.1232
3.14772,75.8887
3.1383,76.5949
3.14425,76.5534
3.13961,77.5219
3.14125,76.3768
3.1334,76.607
3.13442,76.4056
3.15255,77.6164
3.14233,76.9852
3.13992,76.1726
3.13909,77.0468
3.14159,77.3679
3.14489,76.9508
3.14151,77.65
3.13643,77.3612
3.13719,77.6021
3.13767,77.5908
3.14031,78.3443
3.14066,78.4308
3.14201,76.6146
3.14687,77.2192
3.14388,78.3252
3.14536,78.2118
3.13886,78.1722
3.14929,78.8607
3.13748,78.1785
3.14039,78.636
3.1443,77.9524
3.13926,78.6846
3.14512,78.3905
3.14237,78.2812
3.13789,79.0493
3.1369,79.1912
3.13975,79.1315
3.1378,79.4655
3.14069,79.1752
3.14039,79.4919
3.13986,79.2174
3.14045,79.2257
3.13777,79.596
3.13998,79.9409
3.1349,79.103
3.13724,79.1845
3.13587,79.934
3.13946,79.3447
3.14404,79.3296
3.14397,80.155
3.14578,80.0581
3.13552,80.2245
3.14269,80.3128
3.13872,80.0405
3.14098,80.8535
3.13803,80.6787
3.14559,80.1368
3.14996,80.2796
3.14305,80.9308
3.13752,80.8947
3.14199,80.8751
3.14454,80.5698
3.14061,80.8467
3.13307,80.9238
3.14273,80.1544
3.13719,81.172
3.14055,80.7394
3.14575,81.8506
3.14507,81.3048
3.13987,80.8954
3.13978,81.6554
3.13767,81.3878
3.14184,81.9178
3.13879,81.4537
3.1391,81.7383
3.14756,81.6652
3.14027,82.2341
3.14167,82.286
3.13796,81.7756
3.14499,81.8792
3.13769,82.1728
3.13643,82.641
3.14203,83.2491
3.14342,83.146
3.13629,82.1514
3.13949,82.318
3.13612,82.4589
3.14016,83.2549
3.14204,82.3997
3.14028,82.3778
3.13767,83.0709
3.13914,83.0464
3.14527,83.1777
3.13425,83.4575
3.14727,83.3777
3.1364,83.6714
3.14589,83.4047
3.14674,84.1793
3.14438,83.3235
3.13929,83.04
3.14265,83.9728
3.14598,84.6897
3.13941,84.2925
3.14035,84.4917
3.137,84.2693
3.1389,83.6791
3.13885,83.5084
3.14141,84.4487
3.14174,83.7743
3.1441,84.8279
3.1384,85.276
3.14239,84.459
3.13915,84.7985
3.14911,85.1288
3.14298,84.9769
3.14545,84.5846
3.13918,85.8705
3.14622,85.2707
3.14244,85.3998
3.1391,85.8007
3.13807,84.6836
3.13703,85.2135
3.13954,85.517
3.14127,85.9609
3.13641,85.6537
3.14202,85.884
3.13787,86.2324
3.14159,86.2432
3.1413,86.029
3.13832,86.1881
3.13735,86.4268
3.14148,85.737
3.14356,86.8736
3.14251,85.8866
